capability_id,row_kind,capability,status,implementation_status,validation_status,legacy_reference,modern_paths,composition_adapter_paths,test_paths,evidence,remaining_gaps_next_action,active_owner,updated_date
"ZH-C-PRODUCTION-ADMISSION","CAPABILITY","Production request validation prerequisite presence debit and order creation","PARTIAL","PARTIAL","PARTIAL","GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/Production/production_acceptance.cppm;GeneralsMD/Code/GameEngine/Source/Common/RTS/ProductionPrerequisite.cpp","engine/gameplay/rts/production/systems/build_system.cppm;games/generalszh/gameplay/production/systems/production_admission_system.cppm","games/generalszh/composition/game_session.cppm;games/generalszh/adapters/content/prerequisites/prerequisite_definition.cppm;games/generalszh/adapters/content/science/science_prerequisite_binding.cppm","games/generalszh/gameplay/production/systems/production_admission_system.test;games/generalszh/adapters/content/prerequisites/prerequisite_definition.test","Connected science/object prerequisite and account debit cases are bounded; full build menus and legacy equivalence are not claimed.","Cover every prerequisite kind, queue/owner policy, content catalog breadth and failure/rollback behavior.","","2026-09-07"
"ZH-C-PRODUCTION-QUEUE-COMPLETION","CAPABILITY","FIFO queue progression quantity packing completion refunds and produced entities","PARTIAL","PARTIAL","PARTIAL","GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/Production/production_queue.cppm;GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/Production/production_unit_completion.cppm;GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/ProductionUpdate.cpp","engine/gameplay/rts/production/queue/production_queue.cppm;games/generalszh/gameplay/production/systems/production_system.cppm;games/generalszh/gameplay/production/systems/build_completion_system.cppm","games/generalszh/composition/game_session.cppm;games/generalszh/adapters/content/units/unit_definition.cppm","games/generalszh/gameplay/production/systems/production_system.test;games/generalszh/gameplay/production/systems/build_completion_system.test","Bounded FIFO/quantity/repair-sale/transport completion history is recorded; content and effects remain partial.","Complete all unit/upgrade creation branches, disabled/cancel/death paths, production modifiers and content fidelity.","","2026-09-07"
"ZH-C-PRODUCTION-EXITS","CAPABILITY","Production doors reservations exits and newborn visibility","PARTIAL","PARTIAL","PARTIAL","GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/ProductionExitUpdate/DefaultProductionExitUpdate.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/ProductionExitUpdate/QueueProductionExitUpdate.cpp","games/generalszh/gameplay/production/doors;games/generalszh/gameplay/production/entry;games/generalszh/gameplay/production/systems/production_exit_system.cppm","games/generalszh/composition/game_session.cppm;games/generalszh/adapters/legacy/production/doors/production_door_store.cppm;games/generalszh/adapters/legacy/production/entry/production_entry_store.cppm","games/generalszh/gameplay/production/systems/production_exit_system.test;games/generalszh/gameplay/production/doors/production_door.test","Single logical door release and exit reservation are bounded; multi-exit geometry/content and animation remain open.","Implement all exit update types, collision/parking/door markers and full content/presentation semantics.","","2026-09-07"
"ZH-C-PRODUCTION-RALLY","CAPABILITY","Rally point input newborn move order and rally interruption","PARTIAL","PARTIAL","PARTIAL","GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/ProductionUpdate.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/AIUpdate.cpp","games/generalszh/gameplay/production/rally;games/generalszh/gameplay/orders","games/generalszh/composition/game_session.cppm","games/generalszh/gameplay/production/rally/systems/rally_system.test;games/generalszh/composition/game_session.test","Connected rally inputs and newborn ordinary Move order are recorded with capture/rally worker-count checks.","Cover legacy rally target types, queue/exit interactions, air/transport behavior and presentation.","","2026-09-07"
"ZH-C-CONSTRUCTION-SITES","CAPABILITY","Paid scaffolds construction progress completion activation and cancellation","PARTIAL","PARTIAL","PARTIAL","GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Body/StructureBody.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/ProductionUpdate.cpp","games/generalszh/gameplay/construction/components/structure.cppm;games/generalszh/gameplay/construction/systems/construction_placement_system.cppm;games/generalszh/gameplay/construction/systems/construction_system.cppm","games/generalszh/composition/game_session.cppm;games/generalszh/adapters/content/buildings/building_definition.cppm","games/generalszh/gameplay/construction/systems/construction_system.test;games/generalszh/gameplay/construction/systems/construction_placement_system.test;games/generalszh/gameplay/construction/setup/construction_registration.test","Paid scaffold and same-tick structure activation are connected through the shared graph. Full Windows x64 Release build succeeded at 28a904; CTest passed 225/226 suites, with construction_system_tests failing three standalone registration fixtures (9a204c). The shared construction registration helper omits optional VisibilityObserver/VisibilityEligibility required by ConstructionSystem; root and Host fixtures separately register them. Fresh Dalton continuation is reserved for this startup contract correction; design review pending, no new acceptance. Coordinator accepted the bounded three-file startup registration correction after reviewing the helper, idempotent registration, removed Host workaround and direct shared-scheduler regression test. Full build 39979/bf25dd succeeded and full CTest ce78bb passed 226/226 suites, closing the 28a904/9a204c regression. Dalton was closed after acceptance; broader construction fidelity remains PARTIAL. McClintock handed off the three-file ConstructionAdmission layout extraction; coordinator inspected unchanged receipt storage, exact component traits and new metadata test. No build or test acceptance yet; Mendel retains the two required CMake additions. Worker closed to honor the latest five-agent limit. Subsequent coordinator acceptance of McClintock bounded ConstructionAdmission extraction: source reinspection confirmed unchanged storage and exact traits; builddd836c terminal3253df exited0 and CTest26e7b8 passed14/14 including admission and existing batch suites. This supersedes the earlier unbuilt statement only for that extraction. Resolved construction layout-debt metadata removal remains pending.","Map placement geometry, structure damage/repair/sale, all completion capabilities and content variants.","","2026-09-07"
"ZH-C-CONSTRUCTION-BUILDERS","CAPABILITY","Builder task assignment routing work eligibility and interruption","PARTIAL","PARTIAL","PARTIAL","GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/AIUpdate/DozerAIUpdate.cpp;GeneralsMD/Code/GameEngine/Source/Common/RTS/ActionManager.cpp","engine/gameplay/rts/construction/algorithms/builder_routing.cppm;games/generalszh/gameplay/construction/systems/builder_task_system.cppm","games/generalszh/composition/game_session.cppm","games/generalszh/gameplay/construction/systems/builder_task_system.test;games/generalszh/composition/game_session.test","Connected dozer travel/work/interruption is bounded and uses independent task selection and movement.","Add all dozer types, repair/build/capture conflicts, docking and legacy eligibility/content rules.","","2026-09-07"
"ZH-C-REPAIR","CAPABILITY","Base and manual repair leases contribution and healing application","PARTIAL","PARTIAL","PARTIAL","GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/DockUpdate/RepairDockUpdate.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/AIUpdate/DozerAIUpdate.cpp","engine/gameplay/rts/repair;games/generalszh/gameplay/repair","games/generalszh/composition/game_session.cppm;games/generalszh/adapters/content/repair/base_repair_definition.cppm","games/generalszh/gameplay/repair/systems/manual_repair_system.test;games/generalszh/gameplay/repair/systems/base_repair_system.test","Bounded manual/base repair validation and contention are recorded; final focused core result passed 15 cases.","Cover docking, automatic search, allied policy, bridge/benefactor variants, content breadth and presentation.","","2026-09-07"
"ZH-C-SELLING","CAPABILITY","Structure sale deadlines queue refund power and ownership effects","PARTIAL","PARTIAL","PARTIAL","GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/Production/production_cancellation.cppm;GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/ProductionUpdate.cpp","games/generalszh/gameplay/selling;games/generalszh/gameplay/production","games/generalszh/composition/game_session.cppm;games/generalszh/adapters/content/selling/sale_definition.cppm","games/generalszh/gameplay/selling/systems/sell_system.test;games/generalszh/composition/game_session.test","Delayed sale and immediate queue refund are connected for bounded factories.","Implement mobile/supply/armed selling, all refund modifiers, ownership/capture races, effects and presentation.","","2026-09-07"
"ZH-C-CAPTURE","CAPABILITY","Capture input validation ownership transfer upgrade/power/production bindings","PARTIAL","PARTIAL","PARTIAL","GeneralsMD/Code/GameEngine/Source/Common/RTS/Player.cpp;GeneralsMD/Code/GameEngine/Source/Common/RTS/Team.cpp","games/generalszh/gameplay/capture/systems/capture_system.cppm;games/generalszh/gameplay/capture/systems/capture_upgrade_activation_system.cppm","games/generalszh/composition/game_session.cppm;games/generalszh/adapters/content/capture/capture_definition.cppm","games/generalszh/gameplay/capture/systems/capture_system.test;games/generalszh/gameplay/capture/systems/capture_upgrade_activation_system.test","Connected structure capture transfers supported bindings and tests actual state/IDs at 1/2/4 workers.","Complete capture eligibility, diplomacy, modules, object ownership and every downstream effect.","","2026-09-07"
"ZH-C-HEALTH","CAPABILITY","Health state integer damage thresholds healing and life eligibility","PARTIAL","PARTIAL","PARTIAL","GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Body/ActiveBody.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Damage/DamageModule.cpp","engine/gameplay/combat/components/health.cppm;engine/gameplay/combat/systems/health_system.cppm;games/generalszh/gameplay/combat/systems/poison_cleanse_system.cppm","games/generalszh/composition/game_session.cppm;games/generalszh/adapters/content/units/unit_definition.cppm","engine/gameplay/combat/systems/health_system.test;games/generalszh/composition/game_session.test","Health ordering and logical death are part of connected combat/progression scenarios.","Map all body types, subdual/status damage, healing sources, damage transitions and death effects.","","2026-09-07"
"ZH-C-DAMAGE-ARMOR","CAPABILITY","Damage packets armor catalogs direct impact and splash affect masks","PARTIAL","PARTIAL","PARTIAL","GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Damage/DamageModule.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Weapon.cpp","engine/gameplay/combat/damage;games/generalszh/adapters/content/armor/armor_definition.cppm","games/generalszh/composition/game_session.cppm","engine/gameplay/combat/damage/algorithms/resolve_damage.test;games/generalszh/adapters/content/armor/armor_definition.test","Typed armor/direct-hit and bounded splash damage are validated; exact legacy 3D and unsupported masks remain excluded.","Implement all armor/damage types, geometry, line of sight, immunities, modifiers and authored content.","","2026-09-07"
"ZH-C-WEAPONS","CAPABILITY","Weapon sets selection prefire delay firing tracker and launch policy","PARTIAL","PARTIAL","PARTIAL","GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Weapon.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/Object/WeaponSet.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/Object/FiringTracker.cpp","engine/gameplay/combat/components/weapon.cppm;engine/gameplay/combat/systems/weapon_system.cppm;games/generalszh/gameplay/combat/systems/targeting_system.cppm","games/generalszh/composition/game_session.cppm;games/generalszh/adapters/content/units/unit_definition.cppm","engine/gameplay/combat/systems/weapon_system.test;games/generalszh/gameplay/combat/systems/targeting_system.test","Bounded pre-attack delay, weapon launch and positional target behavior are connected and worker-count tested.","Complete weapon selection, continuous spinup/coast, clips, bonuses, specialized weapons, collision and content fidelity.","","2026-09-07"
"ZH-C-PROJECTILES","CAPABILITY","Projectile launch travel impact ordering splash and destruction","PARTIAL","PARTIAL","PARTIAL","GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Weapon.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/ProjectileStreamUpdate.cpp","engine/gameplay/combat/components/projectile.cppm;engine/gameplay/combat/systems/projectile_system.cppm;games/generalszh/gameplay/combat/projectiles","games/generalszh/composition/game_session.cppm","engine/gameplay/combat/systems/projectile_system.test;games/generalszh/composition/game_session.test","Canonical projectile delivery and bounded splash scenarios pass in focused connected evidence.","Implement projectile variants, scatter/steering, collision, 3D geometry, effects and all weapon-content combinations.","","2026-09-07"
"ZH-C-POISON-HEALING","CAPABILITY","Poison inputs periodic damage cleansing regeneration and healing","PARTIAL","PARTIAL","PARTIAL","GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Behavior/PoisonedBehavior.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/BaseRenerateUpdate.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Behavior/AutoHealBehavior.cpp","engine/gameplay/combat/components/periodic_damage.cppm;engine/gameplay/combat/systems/periodic_damage_system.cppm;engine/gameplay/combat/regeneration;games/generalszh/gameplay/combat/poison","","engine/gameplay/combat/regeneration/systems/regeneration_system.test;engine/gameplay/combat/systems/periodic_damage_system.test;games/generalszh/gameplay/combat/systems/poison_cleanse_system.test","Typed periodic damage, cleanse and regeneration are connected with health ordering; full legacy status effects are not covered.","Map all poison/antidote/auto-heal policies, stacking, upgrades, immunities, timing and content.","","2026-09-07"
"ZH-C-ACQUISITION-TARGETING","CAPABILITY","Target index acquisition eligibility stealth relation and firing intent","PARTIAL","PARTIAL","PARTIAL","GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/AIUpdate.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/StealthUpdate.cpp","games/generalszh/gameplay/combat/acquisition;games/generalszh/gameplay/combat/targeting;games/generalszh/gameplay/combat/systems","games/generalszh/composition/game_session.cppm;games/generalszh/adapters/content/visibility/visibility_definition.cppm","games/generalszh/gameplay/combat/systems/acquisition_system.test;games/generalszh/gameplay/combat/systems/targeting_system.test;games/generalszh/composition/game_session.test","Real acquisition/targeting systems refresh typed indexes and reject bounded concealed targets; full observer policy remains open.","Implement complete target priority, diplomacy, LOS/shroud, air/ground/contact rules, weapon selection and retry behavior.","","2026-09-07"
"ZH-C-AUTOMATIC-COMBAT-XP","CAPABILITY","Lethal attribution automatic experience awards and progression batch","PARTIAL","PARTIAL","PARTIAL","GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Object.cpp;GeneralsMD/Code/GameEngine/Source/Common/Thing/ThingTemplate.cpp","games/generalszh/gameplay/progression/systems/kill_experience_system.cppm;engine/gameplay/progression","games/generalszh/composition/game_session.cppm;games/generalszh/adapters/content/progression/veterancy_decoder.cppm","games/generalszh/gameplay/progression/systems/kill_experience_system.test;games/generalszh/composition/game_session.test","Final focused evidence 41974/CTest 6 of 6 covers actual projectile lethal attribution and identical 1/2/4 worker results.","Add noncombat/stale source policies, sinks, diplomacy and complete unit veterancy/content behavior.","","2026-09-07"
"ZH-C-DEMOLITION-TRAPS","CAPABILITY","Death weapons demolition traps delayed final emission and target classification","PARTIAL","PARTIAL","PARTIAL","GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/DemoTrapUpdate.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Behavior/MinefieldBehavior.cpp","games/generalszh/gameplay/demolition;engine/gameplay/combat/death","games/generalszh/composition/game_session.cppm;games/generalszh/adapters/content/buildings/demolition_trap_definition.cppm","games/generalszh/gameplay/demolition/systems/demolition_trap_system.test;games/generalszh/adapters/content/buildings/demolition_trap_definition.test","Focused setup and connected 36-case GameSession evidence 99916/fbda4d covers bounded decoded traps and delayed final weapons.","Add content enrollment, disarming dozers, SlowDeath/random weapons, FX/OCL/shockwave and construction-state breadth.","","2026-09-07"
"ZH-C-MOVEMENT-NAVIGATION","CAPABILITY","FlowFields movement goals range approach arrival and movement activity","PARTIAL","PARTIAL","PARTIAL","GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Locomotor.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/AIUpdate.cpp","engine/gameplay/navigation;games/generalszh/gameplay/movement","games/generalszh/composition/game_session.cppm;games/generalszh/adapters/content/units/unit_definition.cppm","engine/gameplay/navigation/systems/movement_system.test;games/generalszh/composition/game_session.test","Connected movement and ground-position range navigation pass bounded 1/2/4 worker scenarios.","Implement all terrain, clearance, air, locomotor, collision, replanning, blocked and map policies.","","2026-09-07"
"ZH-C-LOCOMOTION","CAPABILITY","Authored locomotor modes speeds turning acceleration and movement physics","UNASSESSED","UNASSESSED","UNASSESSED","GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Locomotor.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/PhysicsUpdate.cpp","engine/gameplay/navigation;games/generalszh/adapters/content/units/unit_definition.cppm","games/generalszh/composition/game_session.cppm","engine/gameplay/navigation/systems/movement_system.test;games/generalszh/adapters/content/units/unit_definition.test","Modern navigation and a bounded unit definition adapter exist, but full locomotor source/integration evidence is missing.","Characterize every locomotor class and content field, then define reusable algorithm versus Zero Hour policy rows before implementation.","","2026-09-07"
"ZH-C-ORDERS","CAPABILITY","Move attack attack-move stop attack-position and order observation","PARTIAL","PARTIAL","PARTIAL","GeneralsMD/Code/GameEngine/Source/GameLogic/AI/AIStates.cpp;GeneralsMD/Code/GameEngine/Source/Common/RTS/ActionManager.cpp","engine/gameplay/rts/orders;games/generalszh/gameplay/orders","games/generalszh/composition/game_session.cppm","engine/gameplay/rts/orders/systems/engagement_system.test;games/generalszh/gameplay/orders/systems/order_system.test","Connected OrderSystem and positional attack behavior are source-grounded and worker-count tested.","Map all command origins, attack variants, retries, queueing and legacy action eligibility.","","2026-09-07"
"ZH-C-TASK-SELECTION","CAPABILITY","Task arbitration and interruption between construction harvest repair containment and ordinary orders","PARTIAL","PARTIAL","PARTIAL","GeneralsMD/Code/GameEngine/Source/Common/RTS/ActionManager.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/AIUpdate/DozerAIUpdate.cpp","games/generalszh/gameplay/tasks/systems/task_selection_system.cppm;games/generalszh/gameplay/containment/systems/transport_containment_system.cppm","games/generalszh/composition/game_session.cppm","games/generalszh/gameplay/tasks/systems/task_selection_system.test;games/generalszh/composition/game_session.test","Task selection is independently registered and prevents ordinary orders from hiding active bounded tasks.","Audit every task producer and winner rule; retain narrow order acceptance and explicit semantic edges.","","2026-09-07"
"ZH-C-MATCH-OUTCOMES","CAPABILITY","Victory defeat elimination army counts and outcome latching","PARTIAL","PARTIAL","PARTIAL","GeneralsMD/Code/GameEngine/Source/GameLogic/System/GameLogic.cpp;GeneralsMD/Code/GameEngine/Source/Common/RTS/PlayerList.cpp","games/generalszh/gameplay/match/systems/victory_system.cppm;games/generalszh/gameplay/match/systems/defeat_system.cppm;engine/gameplay/rts/match","games/generalszh/composition/game_session.cppm","games/generalszh/gameplay/match/systems/victory_system.test;games/generalszh/gameplay/match/systems/defeat_system.test;games/generalszh/composition/game_session.test","Bounded free-for-all victory/defeat and worker-count state/ID behavior are connected.","Implement scenario/team victory conditions, draws, scripted outcomes, observer/UI effects and full ownership policy.","","2026-09-07"
"ZH-C-PLAYER-TEAMS-DIPLOMACY","CAPABILITY","Player/team membership alliances hostility and ownership relation policy","PARTIAL","PARTIAL","PARTIAL","GeneralsMD/Code/GameEngine/Source/Common/RTS/Player.cpp;GeneralsMD/Code/GameEngine/Source/Common/RTS/Team.cpp;GeneralsMD/Code/GameEngine/Source/Common/RTS/PlayerList.cpp","games/generalszh/gameplay/match/components/match_state.cppm;games/generalszh/gameplay/match/observations/defeat_frame.cppm","games/generalszh/composition/game_session.cppm","games/generalszh/gameplay/match/components/match_state.test;games/generalszh/composition/game_session.test","Modern match membership and conservative same-account/distinct-participant checks exist; full diplomacy is not claimed.","Define and connect teams, alliances, relation changes, shared control, observers and all source consumers.","","2026-09-07"
"ZH-C-POWER-LEDGER","CAPABILITY","Power source contributions suppression recovery and production rate","PARTIAL","PARTIAL","PARTIAL","GeneralsMD/Code/GameEngine/Source/Common/RTS/Energy.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/PowerPlantUpdate.cpp","engine/gameplay/rts/power;games/generalszh/gameplay/power/systems/power_system.cppm;games/generalszh/gameplay/power/systems/power_recovery_system.cppm","games/generalszh/composition/game_session.cppm;games/generalszh/adapters/legacy/power/power_store.cppm","games/generalszh/gameplay/power/systems/power_system.test;games/generalszh/gameplay/power/systems/power_recovery_system.test","Power projection, suppression and production-rate ordering are documented bounded slices; legacy callbacks remain at the adapter boundary.","Migrate all producer/consumer modules, brownout traversal, upgrades, visual/audio effects and content variants.","","2026-09-07"
"ZH-C-RADAR-AVAILABILITY","CAPABILITY","Radar counts suppression availability edge and observer-facing radar effects","IN_PROGRESS","IN_PROGRESS","UNASSESSED","GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/RadarUpdate.cpp;GeneralsMD/Code/GameEngine/Source/Common/RTS/Radar/player_radar.cppm","engine/gameplay/rts/radar;games/generalszh/adapters/legacy/radar/radar_store.cppm","games/generalszh/adapters/legacy/radar/README.md","engine/gameplay/rts/radar/systems/radar_system.test;games/generalszh/adapters/legacy/radar/radar_store.test","Prior Bohr owner was not found; the independent radar design was not approved and no modern radar code was produced. Work is interrupted and pending design approval; retained RadarSimulation/adapter tests remain historical bridge evidence only. Handoff 2026-09-07: fresh bounded one-system source/design review is in progress; no production approval and no acceptance. Coordinator approved Ptolemy's revised bounded design: one reusable engine RadarAvailabilitySystemT instantiated with typed Zero Hour ownership/eligibility policy, reused RadarAvailability state, immutable persistent grant bindings, deterministic aggregate transitions. Retained legacy command execution stays separate. Object-scoped China upgrade activation and general object disable transitions remain unsupported; real lifecycle/root integration is still required for acceptance. Ptolemy scope audit confirmed five out-of-scope crate/pickup edits and no radar implementation. Ptolemy was closed; edits were preserved for Hypatia's review, not reverted or accepted. Fresh Hume is reserved for radar-only design confirmation before edits. No modern radar validation exists. Coordinator continuation reinspection 2026-09-07 retained the same active ownership and unaccepted status; concrete unresolved authority, startup, bounds and producer/consumer gaps are recorded in parallel_port.md Current bounded-work correction inventory. No new build or acceptance is claimed. Hume returned unrelated crate status; explicit audit confirmed zero edits and no radar files. Hume was closed. Fresh Newton, explicit non-forked Luna/max assignment, owns radar-only design confirmation; no code approval or radar acceptance. Newton radar-only revised design approved: real object-word binding arms a persistent provider-effect grant; raw word removal does not undo it, capture preserves it, and life/owner/completion determine contribution. One reusable typed system owns joined aggregate and RecordedBatch-to-PublishedBatch publication in AfterChunks, with explicit consumer graph edges. Logical limits and bounded idempotent counts are required; no legacy reset/regrant counter-fidelity claim. Leaf implementation, root producers and connected validation remain unaccepted. Continuation prereview: inspected radar availability system and ZeroHourRadarPolicy; empty word/account duplicate-loop indexing requires correction and zero-population tests. Same owner retained; no build or acceptance. Coordinator accepted bounded radar leaf handoff after actual provider chunk writes, singular account aggregation, persistent grant semantics, resource publication and policy/content review. Final Windows x64 Clang Release rebuild48724 terminal5d9365 passed7/7 focused suites (14 cases), including 12 providers over multiple prepared chunks and full provider/account IDs, grant/contribution state and ordered transitions across1/2/4 workers. Initial build57997/399d1e failed defaulted equality return type; corrected. Broad CTeste52a5e also selected two unbuilt legacy tests; these were NotRun, not new legacy failures. Final exact7-test selection passed after debug-only immutable bitmask assertion correction. Newton closed. America/GLA producer/root integration and broader radar lifecycle remain unaccepted; China without a concrete producer remains explicitly rejected. Coordinator approved revised one-system lifecycle design and released only four new component/system/test files to Ohm. Normal life/readiness/enrollment decisions execute in typed chunks; BeforeChunks prepares bounded slots only, AfterChunks joins validates capacity/conflicts publishes and updates prepared stage columns. Shared production/construction/content/root/CMake remain queued after Mendel. No integration or validation acceptance.","Complete reviewed object/radar integration through real production and the shared root, then characterize broader radar upgrades and shroud interactions. Earlier request: reopen and approve a bounded radar design before implementation; move radar ownership and observer effects into the independent composed path, then characterize all radar upgrades and shroud interactions.","Ohm:01a07cc8-9391-7223-801f-f6bc211e3911 (approved disjoint lifecycle component/system implementation; shared integration not released)","2026-09-07"
"ZH-C-STEALTH-DETECTION","CAPABILITY","Stealth eligibility detection leases detection index and target suppression","PARTIAL","PARTIAL","PARTIAL","GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/StealthUpdate.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/StealthDetectorUpdate.cpp","engine/gameplay/concealment;games/generalszh/gameplay/concealment","games/generalszh/composition/game_session.cppm;games/generalszh/adapters/content/visibility/visibility_definition.cppm","engine/gameplay/concealment/systems/concealment_system.test;engine/gameplay/concealment/algorithms/detection_index.test;games/generalszh/gameplay/concealment/systems/stealth_policy_system.test","Final bounded hidden-target root follow-up is recorded as 32 GameSession cases with 1/2/4 worker behavior; broader variants remain open.","Implement disguise/grant/slave/garrison/LOS/fog/presentation/diplomacy and connect all observer-specific visibility.","","2026-09-07"
"ZH-C-VISIBILITY-SHROUD","CAPABILITY","Visibility observers leases pages shroud policy and exact target visibility","PARTIAL","PARTIAL","PARTIAL","GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/DynamicShroudClearingRangeUpdate.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/SpyVisionUpdate.cpp","engine/gameplay/rts/visibility;games/generalszh/gameplay/visibility/definitions/visibility_policy.cppm","games/generalszh/composition/game_session.cppm;games/generalszh/adapters/content/visibility/visibility_definition.cppm","engine/gameplay/rts/visibility/systems/visibility_system.test;games/generalszh/adapters/content/visibility/visibility_definition.test","The bounded visibility capability is validated by core/content 8d7d9e CTest 2/2, policy 247872 CTest 1/1, root/combat 73c123 CTest 2/2, decoded content/headless/host eadb24 CTest 3/3, targeting 76ca32 CTest 1/1, and root validation 70835 terminal 6e62db CTest 1/1; all 40 GameSession cases pass, including the decoded production/movement/death/grace/capture/containment scenario compared at 1/2/4 workers.","Family remains partial beyond ordinary range-based shroud: terrain LOS, radar, stealth/detection, diplomacy, reveal-to-all/special variants, presentation/serialization, full content fidelity, performance and cross-platform checks are omitted.","","2026-09-07"
"ZH-C-CONTAINMENT-TRANSPORT","CAPABILITY","Ground transport boarding membership capacity follow and passenger eligibility","PARTIAL","PARTIAL","PARTIAL","GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Contain/TransportContain.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/AI/AIStates.cpp","engine/gameplay/containment;games/generalszh/gameplay/containment/systems/transport_containment_system.cppm","games/generalszh/composition/game_session.cppm;games/generalszh/adapters/content/containment/transport_definition.cppm","games/generalszh/gameplay/containment/systems/transport_containment_system.test;games/generalszh/composition/game_session.test","Ground transport boarding/navigation/interruption and death/exit bounded scenarios pass with 1/2/4 worker comparisons.","Implement airborne/helix/railed/tunnel/nested containment, passenger weapons, geometry and full content policy.","","2026-09-07"
"ZH-C-GARRISON-TUNNEL","CAPABILITY","Garrison tunnel cave bunker and nested containment behavior","PARTIAL","PARTIAL","PARTIAL","GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Contain/GarrisonContain.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Contain/TunnelContain.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Contain/CaveContain.cpp","games/generalszh/gameplay/containment/systems/garrison_containment_system.cppm;engine/gameplay/containment","games/generalszh/composition/game_session.cppm;games/generalszh/adapters/content/containment/transport_definition.cppm","games/generalszh/gameplay/containment/systems/garrison_containment_system.test","A real garrison system and tests exist, but full legacy containment integration and content coverage were not verified.","Characterize all container types, nested/airborne/tunnel transitions, exit policy, passenger behavior and presentation before completion.","","2026-09-07"
"ZH-C-INITIAL-PAYLOAD","CAPABILITY","Authored initial payload production exact catalog binding and membership","PARTIAL","PARTIAL","PARTIAL","GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Contain/TransportContain.cpp","games/generalszh/gameplay/containment/components/initial_payload.cppm;games/generalszh/gameplay/containment/systems/initial_payload_production_system.cppm","games/generalszh/composition/game_session.cppm;games/generalszh/adapters/content/containment/transport_definition.cppm","games/generalszh/gameplay/containment/systems/initial_payload_production_system.test;games/generalszh/hosts/headless/content_match_impl.test","Bounded ground initial payload production is connected and deterministic across 1/2/4 workers.","Add airborne/nested/recursive payloads, rollback/failure policy, passenger effects and full content references.","","2026-09-07"
